Config,Config_int,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf
110011011000001011000000011111001101,55166371789,4.046,3.869,1.946,1.923,31,14,234.626,599.446,834.072,669.022,625.526,1294.548, High
000101101011101010101001010001010101,6101308501,4.588,4.093,1.916,2.177,31,13,278.246,613.236,891.482,696.097,638.93,1335.027, High
111110000010111000101110011001100010,66620417634,4.4670000000000005,4.422,1.921,2.501,31,14,231.549,535.135,766.684,654.807,560.704,1215.511, High
101101111010000000100100001000000100,49291608580,4.311999999999999,3.996,1.789,2.207,19,13,149.6,336.653,486.253,488.843,359.975,848.818, High
011011101000011110100001011000010011,29670118931,4.554,4.374,2.063,2.311,30,13,264.855,533.154,798.009,684.69,557.318,1242.008, High
010010000001001100110010100001110110,19347482742,4.172000000000001,4.071,1.93,2.141,25,13,220.091,505.798,725.889,614.335,530.132,1144.467, High
010001001000001001101000011001110011,18390353523,3.727,3.603,1.585,2.018,23,13,243.495,491.687,735.182,675.682,518.547,1194.229, High
001111000001011111000110001001111001,16131056249,4.519,4.233,1.991,2.242,31,14,274.591,595.95,870.541,699.927,621.195,1321.122, High
010011100110111101000101100100001011,21054642443,4.516,4.34,2.05,2.29,31,13,233.798,542.984,776.782,661.185,568.019,1229.204, High
001101001111011001011101010011011001,14216975577,4.615,4.331,1.981,2.35,38,15,291.276,689.543,980.819,714.657,714.6,1429.257, High
001010111010110101100100000011111011,11724538107,4.561999999999999,4.429,1.99,2.439,34,15,243.767,631.232,874.999,649.032,655.283,1304.315, High
101010101111000110011001001000101010,45887361578,4.624,4.462,1.989,2.473,29,14,252.499,521.064,773.563,661.923,545.237,1207.16, High
101100011001110001111000110111110100,47677148660,4.607,4.221,2.028,2.193,35,15,286.475,677.008,963.483,741.614,703.27,1444.884, High
101001101111001001011110001010100010,44814426786,4.6080000000000005,4.423,2.105,2.318,30,15,223.606,536.41,760.016,628.647,560.618,1189.265, High
011011101001101110110001011110111100,29691156412,4.393,4.275,2.124,2.151,37,16,315.73,744.088,1059.818,761.563,769.819,1531.382, High
111001111010000111010101000000000110,62178283526,4.307,4.163,1.844,2.319,26,13,228.079,483.998,712.077,648.698,509.266,1157.964, High
000101000010101011111001111111000011,5413773251,4.441,4.161,1.644,2.517,34,15,263.799,641.201,905.0,671.145,665.776,1336.9209999999998, High
001000000011100110000011110010101000,8650243240,4.420999999999999,4.04,1.991,2.049,23,13,222.339,475.761,698.1,676.923,499.875,1176.798, High
101011011110000110110011011100101010,46675998506,4.595000000000001,4.417,2.086,2.331,34,14,284.632,626.658,911.29,691.26,651.771,1343.031, High
001011011110110101110011001111101000,12328580072,4.505999999999999,4.31,1.978,2.332,36,16,279.389,681.542,960.931,710.252,706.745,1416.9969999999998, High
011110010001010010000110001001001111,32502211151,4.555,4.197,1.764,2.433,27,14,278.763,525.089,803.8520000000001,713.798,550.965,1264.763, High
010011110111101100001011011111010010,21335422930,4.539,4.305,1.79,2.515,36,16,299.233,722.382,1021.615,754.642,748.695,1503.337, High
001001110010101011100010001001000100,10513949252,4.404,4.016,1.858,2.158,24,13,233.159,476.712,709.871,619.377,501.935,1121.312, High
111111101110110011100011001010001011,68431000203,4.625,4.47,2.135,2.335,36,14,274.816,622.411,897.2269999999999,731.104,648.082,1379.186, High
100100011011111010110011011100010001,39123105553,4.539,4.126,1.982,2.144,33,14,282.79,632.824,915.614,706.541,658.178,1364.719, High
100110001101000111111101100110110111,41022380471,4.517,4.428,1.902,2.526,37,15,264.271,672.206,936.477,746.988,697.193,1444.181, High
